batman: Topic: 0, Keyword number: 0
robin: Topic: 0, Keyword number: 1
krippendorf: Topic: 0, Keyword number: 2
freeze: Topic: 0, Keyword number: 3
batman_robin: Topic: 0, Keyword number: 4
schumacher: Topic: 0, Keyword number: 5
tribe: Topic: 0, Keyword number: 6
ivy: Topic: 0, Keyword number: 7
joel: Topic: 0, Keyword number: 8
burton: Topic: 0, Keyword number: 9
poison: Topic: 0, Keyword number: 10
poison_ivy: Topic: 0, Keyword number: 11
dreyfuss: Topic: 0, Keyword number: 12
clooney: Topic: 0, Keyword number: 13
joel_schumacher: Topic: 0, Keyword number: 14
schwarzenegger: Topic: 0, Keyword number: 15
thurman: Topic: 0, Keyword number: 16
uma: Topic: 0, Keyword number: 17
bruce: Topic: 0, Keyword number: 18
arnold: Topic: 0, Keyword number: 19
batgirl: Topic: 0, Keyword number: 20
alfred: Topic: 0, Keyword number: 21
depp: Topic: 0, Keyword number: 22
tim_burton: Topic: 0, Keyword number: 23
krippendorf_tribe: Topic: 0, Keyword number: 24
todd: Topic: 1, Keyword number: 0
chucky: Topic: 1, Keyword number: 1
connor: Topic: 1, Keyword number: 2
stahl: Topic: 1, Keyword number: 3
bobby: Topic: 1, Keyword number: 4
shandling: Topic: 1, Keyword number: 5
bening: Topic: 1, Keyword number: 6
soldier: Topic: 1, Keyword number: 7
carl: Topic: 1, Keyword number: 8
goodman: Topic: 1, Keyword number: 9
liotta: Topic: 1, Keyword number: 10
stiller: Topic: 1, Keyword number: 11
bully: Topic: 1, Keyword number: 12
grammer: Topic: 1, Keyword number: 13
catharine: Topic: 1, Keyword number: 14
bride: Topic: 1, Keyword number: 15
jennifer: Topic: 1, Keyword number: 16
cell: Topic: 1, Keyword number: 17
highlander: Topic: 1, Keyword number: 18
violet: Topic: 1, Keyword number: 19
garry: Topic: 1, Keyword number: 20
navy: Topic: 1, Keyword number: 21
bride_chucky: Topic: 1, Keyword number: 22
marvin: Topic: 1, Keyword number: 23
paul_anderson: Topic: 1, Keyword number: 24
alien: Topic: 2, Keyword number: 0
virus: Topic: 2, Keyword number: 1
earth: Topic: 2, Keyword number: 2
ship: Topic: 2, Keyword number: 3
deep_rising: Topic: 2, Keyword number: 4
rising: Topic: 2, Keyword number: 5
deep: Topic: 2, Keyword number: 6
battlefield: Topic: 2, Keyword number: 7
battlefield_earth: Topic: 2, Keyword number: 8
travolta: Topic: 2, Keyword number: 9
monster: Topic: 2, Keyword number: 10
aliens: Topic: 2, Keyword number: 11
psychlos: Topic: 2, Keyword number: 12
space: Topic: 2, Keyword number: 13
lost_space: Topic: 2, Keyword number: 14
psychlo: Topic: 2, Keyword number: 15
creature: Topic: 2, Keyword number: 16
terl: Topic: 2, Keyword number: 17
