characters: Topic: 0, Keyword number: 0
film: Topic: 0, Keyword number: 1
don: Topic: 0, Keyword number: 2
scenes: Topic: 0, Keyword number: 3
paul: Topic: 0, Keyword number: 4
love: Topic: 0, Keyword number: 5
high: Topic: 0, Keyword number: 6
performance: Topic: 0, Keyword number: 7
john: Topic: 0, Keyword number: 8
acting: Topic: 0, Keyword number: 9
role: Topic: 0, Keyword number: 10
movie: Topic: 0, Keyword number: 11
work: Topic: 0, Keyword number: 12
style: Topic: 0, Keyword number: 13
fails: Topic: 0, Keyword number: 14
kids: Topic: 0, Keyword number: 15
people: Topic: 0, Keyword number: 16
actors: Topic: 0, Keyword number: 17
sort: Topic: 0, Keyword number: 18
burton: Topic: 0, Keyword number: 19
ben: Topic: 0, Keyword number: 20
high_school: Topic: 0, Keyword number: 21
premise: Topic: 0, Keyword number: 22
isn: Topic: 0, Keyword number: 23
character: Topic: 0, Keyword number: 24
film: Topic: 1, Keyword number: 0
director: Topic: 1, Keyword number: 1
time: Topic: 1, Keyword number: 2
story: Topic: 1, Keyword number: 3
hollywood: Topic: 1, Keyword number: 4
heart: Topic: 1, Keyword number: 5
movie: Topic: 1, Keyword number: 6
star: Topic: 1, Keyword number: 7
acting: Topic: 1, Keyword number: 8
billy: Topic: 1, Keyword number: 9
work: Topic: 1, Keyword number: 10
lost: Topic: 1, Keyword number: 11
actress: Topic: 1, Keyword number: 12
big: Topic: 1, Keyword number: 13
sex: Topic: 1, Keyword number: 14
mother: Topic: 1, Keyword number: 15
year: Topic: 1, Keyword number: 16
alan: Topic: 1, Keyword number: 17
bad: Topic: 1, Keyword number: 18
lack: Topic: 1, Keyword number: 19
life: Topic: 1, Keyword number: 20
interest: Topic: 1, Keyword number: 21
comedy: Topic: 1, Keyword number: 22
making: Topic: 1, Keyword number: 23
nick: Topic: 1, Keyword number: 24
film: Topic: 2, Keyword number: 0
crime: Topic: 2, Keyword number: 1
daughter: Topic: 2, Keyword number: 2
work: Topic: 2, Keyword number: 3
characters: Topic: 2, Keyword number: 4
town: Topic: 2, Keyword number: 5
played: Topic: 2, Keyword number: 6
family: Topic: 2, Keyword number: 7
performance: Topic: 2, Keyword number: 8
school: Topic: 2, Keyword number: 9
script: Topic: 2, Keyword number: 10
high: Topic: 2, Keyword number: 11
scene: Topic: 2, Keyword number: 12
laugh: Topic: 2, Keyword number: 13
scenes: Topic: 2, Keyword number: 14
living: Topic: 2, Keyword number: 15
doesn: Topic: 2, Keyword number: 16
basketball: Topic: 2, Keyword number: 17
max: Topic: 2, Keyword number: 18
small: Topic: 2, Keyword number: 19
book: Topic: 2, Keyword number: 20
problems: Topic: 2, Keyword number: 21
story: Topic: 2, Keyword number: 22
idea: Topic: 2, Keyword number: 23
dream: Topic: 2, Keyword number: 24
earth: Topic: 3, Keyword number: 0
movie: Topic: 3, Keyword number: 1
story: Topic: 3, Keyword number: 2
spawn: Topic: 3, Keyword number: 3
king: Topic: 3, Keyword number: 4
don: Topic: 3, Keyword number: 5
space: Topic: 3, Keyword number: 6
sci: Topic: 3, Keyword number: 7
special: Topic: 3, Keyword number: 8
wife: Topic: 3, Keyword number: 9
effects: Topic: 3, Keyword number: 10
film: Topic: 3, Keyword number: 11
thing: Topic: 3, Keyword number: 12
city: Topic: 3, Keyword number: 13
good: Topic: 3, Keyword number: 14
basically: Topic: 3, Keyword number: 15
impressive: Topic: 3, Keyword number: 16
aliens: Topic: 3, Keyword number: 17
battle: Topic: 3, Keyword number: 18
book: Topic: 3, Keyword number: 19
daughter: Topic: 3, Keyword number: 20
written: Topic: 3, Keyword number: 21
big: Topic: 3, Keyword number: 22
pretty: Topic: 3, Keyword number: 23
level: Topic: 3, Keyword number: 24
movie: Topic: 4, Keyword number: 0
american: Topic: 4, Keyword number: 1
jim: Topic: 4, Keyword number: 2
young: Topic: 4, Keyword number: 3
summer: Topic: 4, Keyword number: 4
real: Topic: 4, Keyword number: 5
slasher: Topic: 4, Keyword number: 6
party: Topic: 4, Keyword number: 7
joan: Topic: 4, Keyword number: 8
day: Topic: 4, Keyword number: 9
love: Topic: 4, Keyword number: 10
league: Topic: 4, Keyword number: 11
humor: Topic: 4, Keyword number: 12
urban_legend: Topic: 4, Keyword number: 13
box: Topic: 4, Keyword number: 14
baseball: Topic: 4, Keyword number: 15
jason: Topic: 4, Keyword number: 16
bill: Topic: 4, Keyword number: 17
played: Topic: 4, Keyword number: 18
hand: Topic: 4, Keyword number: 19
carry: Topic: 4, Keyword number: 20
leading: Topic: 4, Keyword number: 21
trouble: Topic: 4, Keyword number: 22
main: Topic: 4, Keyword number: 23
final: Topic: 4, Keyword number: 24
plot: Topic: 5, Keyword number: 0
film: Topic: 5, Keyword number: 1
man: Topic: 5, Keyword number: 2
scenes: Topic: 5, Keyword number: 3
movie: Topic: 5, Keyword number: 4
doesn: Topic: 5, Keyword number: 5
kind: Topic: 5, Keyword number: 6
characters: Topic: 5, Keyword number: 7
director: Topic: 5, Keyword number: 8
good: Topic: 5, Keyword number: 9
business: Topic: 5, Keyword number: 10
love: Topic: 5, Keyword number: 11
mystery: Topic: 5, Keyword number: 12
wasn: Topic: 5, Keyword number: 13
eyes: Topic: 5, Keyword number: 14
fight: Topic: 5, Keyword number: 15
interesting: Topic: 5, Keyword number: 16
nice: Topic: 5, Keyword number: 17
thought: Topic: 5, Keyword number: 18
full: Topic: 5, Keyword number: 19
character: Topic: 5, Keyword number: 20
guy: Topic: 5, Keyword number: 21
hand: Topic: 5, Keyword number: 22
watching: Topic: 5, Keyword number: 23
long: Topic: 5, Keyword number: 24
film: Topic: 6, Keyword number: 0
movie: Topic: 6, Keyword number: 1
things: Topic: 6, Keyword number: 2
plot: Topic: 6, Keyword number: 3
horror: Topic: 6, Keyword number: 4
director: Topic: 6, Keyword number: 5
music: Topic: 6, Keyword number: 6
time: Topic: 6, Keyword number: 7
girls: Topic: 6, Keyword number: 8
scary: Topic: 6, Keyword number: 9
game: Topic: 6, Keyword number: 10
blair: Topic: 6, Keyword number: 11
day: Topic: 6, Keyword number: 12
find: Topic: 6, Keyword number: 13
lot: Topic: 6, Keyword number: 14
wild: Topic: 6, Keyword number: 15
set: Topic: 6, Keyword number: 16
effects: Topic: 6, Keyword number: 17
blair_witch: Topic: 6, Keyword number: 18
watching: Topic: 6, Keyword number: 19
side: Topic: 6, Keyword number: 20
worst: Topic: 6, Keyword number: 21
jones: Topic: 6, Keyword number: 22
thriller: Topic: 6, Keyword number: 23
crew: Topic: 6, Keyword number: 24
lot: Topic: 7, Keyword number: 0
running: Topic: 7, Keyword number: 1
cruise: Topic: 7, Keyword number: 2
high: Topic: 7, Keyword number: 3
trek: Topic: 7, Keyword number: 4
script: Topic: 7, Keyword number: 5
dumb: Topic: 7, Keyword number: 6
williams: Topic: 7, Keyword number: 7
bit: Topic: 7, Keyword number: 8
movie: Topic: 7, Keyword number: 9
good: Topic: 7, Keyword number: 10
true: Topic: 7, Keyword number: 11
film: Topic: 7, Keyword number: 12
francis: Topic: 7, Keyword number: 13
henstridge: Topic: 7, Keyword number: 14
deep_rising: Topic: 7, Keyword number: 15
creature: Topic: 7, Keyword number: 16
perry: Topic: 7, Keyword number: 17
star_trek: Topic: 7, Keyword number: 18
people: Topic: 7, Keyword number: 19
ace: Topic: 7, Keyword number: 20
picture: Topic: 7, Keyword number: 21
manages: Topic: 7, Keyword number: 22
dialogue: Topic: 7, Keyword number: 23
short: Topic: 7, Keyword number: 24
film: Topic: 8, Keyword number: 0
seagal: Topic: 8, Keyword number: 1
good: Topic: 8, Keyword number: 2
wife: Topic: 8, Keyword number: 3
mars: Topic: 8, Keyword number: 4
john: Topic: 8, Keyword number: 5
case: Topic: 8, Keyword number: 6
impact: Topic: 8, Keyword number: 7
characters: Topic: 8, Keyword number: 8
scene: Topic: 8, Keyword number: 9
story: Topic: 8, Keyword number: 10
films: Topic: 8, Keyword number: 11
message: Topic: 8, Keyword number: 12
mission_mars: Topic: 8, Keyword number: 13
don: Topic: 8, Keyword number: 14
interesting: Topic: 8, Keyword number: 15
brenner: Topic: 8, Keyword number: 16
sinise: Topic: 8, Keyword number: 17
romantic: Topic: 8, Keyword number: 18
disaster: Topic: 8, Keyword number: 19
long: Topic: 8, Keyword number: 20
general: Topic: 8, Keyword number: 21
car: Topic: 8, Keyword number: 22
work: Topic: 8, Keyword number: 23
magoo: Topic: 8, Keyword number: 24
film: Topic: 9, Keyword number: 0
audience: Topic: 9, Keyword number: 1
half: Topic: 9, Keyword number: 2
people: Topic: 9, Keyword number: 3
allen: Topic: 9, Keyword number: 4
completely: Topic: 9, Keyword number: 5
lost: Topic: 9, Keyword number: 6
grace: Topic: 9, Keyword number: 7
grant: Topic: 9, Keyword number: 8
left: Topic: 9, Keyword number: 9
doesn: Topic: 9, Keyword number: 10
bit: Topic: 9, Keyword number: 11
main: Topic: 9, Keyword number: 12
story: Topic: 9, Keyword number: 13
mission: Topic: 9, Keyword number: 14
big: Topic: 9, Keyword number: 15
krippendorf: Topic: 9, Keyword number: 16
sort: Topic: 9, Keyword number: 17
deep: Topic: 9, Keyword number: 18
point: Topic: 9, Keyword number: 19
produced: Topic: 9, Keyword number: 20
david: Topic: 9, Keyword number: 21
includes: Topic: 9, Keyword number: 22
scene: Topic: 9, Keyword number: 23
kind: Topic: 9, Keyword number: 24
evil: Topic: 10, Keyword number: 0
script: Topic: 10, Keyword number: 1
years: Topic: 10, Keyword number: 2
man: Topic: 10, Keyword number: 3
doesn: Topic: 10, Keyword number: 4
town: Topic: 10, Keyword number: 5
group: Topic: 10, Keyword number: 6
plays: Topic: 10, Keyword number: 7
hero: Topic: 10, Keyword number: 8
film: Topic: 10, Keyword number: 9
people: Topic: 10, Keyword number: 10
silly: Topic: 10, Keyword number: 11
played: Topic: 10, Keyword number: 12
slow: Topic: 10, Keyword number: 13
young: Topic: 10, Keyword number: 14
actors: Topic: 10, Keyword number: 15
life: Topic: 10, Keyword number: 16
totally: Topic: 10, Keyword number: 17
guy: Topic: 10, Keyword number: 18
movie: Topic: 10, Keyword number: 19
don: Topic: 10, Keyword number: 20
camp: Topic: 10, Keyword number: 21
poor: Topic: 10, Keyword number: 22
humor: Topic: 10, Keyword number: 23
book: Topic: 10, Keyword number: 24
action: Topic: 11, Keyword number: 0
batman: Topic: 11, Keyword number: 1
bad: Topic: 11, Keyword number: 2
film: Topic: 11, Keyword number: 3
films: Topic: 11, Keyword number: 4
don: Topic: 11, Keyword number: 5
movie: Topic: 11, Keyword number: 6
scenes: Topic: 11, Keyword number: 7
isn: Topic: 11, Keyword number: 8
good: Topic: 11, Keyword number: 9
thought: Topic: 11, Keyword number: 10
jackie: Topic: 11, Keyword number: 11
series: Topic: 11, Keyword number: 12
sequences: Topic: 11, Keyword number: 13
york: Topic: 11, Keyword number: 14
plot: Topic: 11, Keyword number: 15
movies: Topic: 11, Keyword number: 16
donnell: Topic: 11, Keyword number: 17
funny: Topic: 11, Keyword number: 18
supposed: Topic: 11, Keyword number: 19
big: Topic: 11, Keyword number: 20
mess: Topic: 11, Keyword number: 21
freeze: Topic: 11, Keyword number: 22
jackie_chan: Topic: 11, Keyword number: 23
sense: Topic: 11, Keyword number: 24
film: Topic: 12, Keyword number: 0
movie: Topic: 12, Keyword number: 1
plays: Topic: 12, Keyword number: 2
house: Topic: 12, Keyword number: 3
town: Topic: 12, Keyword number: 4
money: Topic: 12, Keyword number: 5
plot: Topic: 12, Keyword number: 6
martin: Topic: 12, Keyword number: 7
bad: Topic: 12, Keyword number: 8
bats: Topic: 12, Keyword number: 9
lawrence: Topic: 12, Keyword number: 10
fbi: Topic: 12, Keyword number: 11
