movie: Topic: 0, Keyword number: 0
sense: Topic: 0, Keyword number: 1
death: Topic: 0, Keyword number: 2
final: Topic: 0, Keyword number: 3
men: Topic: 0, Keyword number: 4
john: Topic: 0, Keyword number: 5
human: Topic: 0, Keyword number: 6
battle: Topic: 0, Keyword number: 7
alex: Topic: 0, Keyword number: 8
actors: Topic: 0, Keyword number: 9
years: Topic: 0, Keyword number: 10
ryan: Topic: 0, Keyword number: 11
duvall: Topic: 0, Keyword number: 12
plane: Topic: 0, Keyword number: 13
reality: Topic: 0, Keyword number: 14
obi: Topic: 0, Keyword number: 15
ford: Topic: 0, Keyword number: 16
war: Topic: 0, Keyword number: 17
film: Topic: 0, Keyword number: 18
destination: Topic: 0, Keyword number: 19
hero: Topic: 0, Keyword number: 20
experience: Topic: 0, Keyword number: 21
final_destination: Topic: 0, Keyword number: 22
ago: Topic: 0, Keyword number: 23
luke: Topic: 0, Keyword number: 24
day: Topic: 1, Keyword number: 0
girl: Topic: 1, Keyword number: 1
tom: Topic: 1, Keyword number: 2
mickey: Topic: 1, Keyword number: 3
horse: Topic: 1, Keyword number: 4
time: Topic: 1, Keyword number: 5
boy: Topic: 1, Keyword number: 6
man: Topic: 1, Keyword number: 7
grace: Topic: 1, Keyword number: 8
army: Topic: 1, Keyword number: 9
order: Topic: 1, Keyword number: 10
roles: Topic: 1, Keyword number: 11
cold: Topic: 1, Keyword number: 12
life: Topic: 1, Keyword number: 13
mermaid: Topic: 1, Keyword number: 14
starts: Topic: 1, Keyword number: 15
role: Topic: 1, Keyword number: 16
redford: Topic: 1, Keyword number: 17
mother: Topic: 1, Keyword number: 18
big: Topic: 1, Keyword number: 19
america: Topic: 1, Keyword number: 20
nello: Topic: 1, Keyword number: 21
years: Topic: 1, Keyword number: 22
thomas: Topic: 1, Keyword number: 23
daughter: Topic: 1, Keyword number: 24
film: Topic: 2, Keyword number: 0
star: Topic: 2, Keyword number: 1
evil: Topic: 2, Keyword number: 2
star_wars: Topic: 2, Keyword number: 3
jedi: Topic: 2, Keyword number: 4
young: Topic: 2, Keyword number: 5
menace: Topic: 2, Keyword number: 6
character: Topic: 2, Keyword number: 7
phantom: Topic: 2, Keyword number: 8
phantom_menace: Topic: 2, Keyword number: 9
lucas: Topic: 2, Keyword number: 10
return: Topic: 2, Keyword number: 11
austin: Topic: 2, Keyword number: 12
boy: Topic: 2, Keyword number: 13
making: Topic: 2, Keyword number: 14
myers: Topic: 2, Keyword number: 15
fun: Topic: 2, Keyword number: 16
obi_wan: Topic: 2, Keyword number: 17
episode: Topic: 2, Keyword number: 18
movie: Topic: 2, Keyword number: 19
sixth_sense: Topic: 2, Keyword number: 20
fans: Topic: 2, Keyword number: 21
time: Topic: 2, Keyword number: 22
queen: Topic: 2, Keyword number: 23
princess: Topic: 2, Keyword number: 24
film: Topic: 3, Keyword number: 0
agent: Topic: 3, Keyword number: 1
time: Topic: 3, Keyword number: 2
takes: Topic: 3, Keyword number: 3
hollywood: Topic: 3, Keyword number: 4
brooks: Topic: 3, Keyword number: 5
personal: Topic: 3, Keyword number: 6
brings: Topic: 3, Keyword number: 7
attempts: Topic: 3, Keyword number: 8
difficult: Topic: 3, Keyword number: 9
egoyan: Topic: 3, Keyword number: 10
manner: Topic: 3, Keyword number: 11
sweet: Topic: 3, Keyword number: 12
slowly: Topic: 3, Keyword number: 13
hunt: Topic: 3, Keyword number: 14
performances: Topic: 3, Keyword number: 15
dinner: Topic: 3, Keyword number: 16
states: Topic: 3, Keyword number: 17
telling: Topic: 3, Keyword number: 18
target: Topic: 3, Keyword number: 19
worth: Topic: 3, Keyword number: 20
writer: Topic: 3, Keyword number: 21
guys: Topic: 3, Keyword number: 22
edwards: Topic: 3, Keyword number: 23
event_horizon: Topic: 3, Keyword number: 24
film: Topic: 4, Keyword number: 0
movie: Topic: 4, Keyword number: 1
